Input,Output
COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCC(NS(C)(=O)=O)CC2)n1.O=C([O-])[O-]>CI.CN(C)C=O.[K+].[K+],COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCC(N(C)S(C)(=O)=O)CC2)n1
O=C(O)c1c(-c2cccc(F)c2)ccnc1Cl>C1CCOC1.O=S(Cl)Cl,OCc1c(-c2cccc(F)c2)ccnc1Cl
CCI.COC(=O)c1ccc(O)cc1OC>CN(C)C=O.O.O=C([O-])[O-].[K+].[K+],CCOc1ccc(C(=O)OC)c(OC)c1
CCC(=O)C1=C(O)CC(c2ccc(NC=O)cc2)CC1=O.CCON>CCO.ClC(Cl)Cl,CCON=C(CC)C1=C(O)CC(c2ccc(NC=O)cc2)CC1=O
C1COCCN1.CS(=O)(=O)OCCCc1[nH]cc(-c2ccc(F)cc2)c1-c1ccncc1>ClCCl,Fc1ccc(-c2c[nH]c(CCCN3CCOCC3)c2-c2ccncc2)cc1
CN1C(=O)Cc2cnc(N3CCNCC3)nc21.O=C(Cl)c1ccccc1>CCN(CC)CC.ClCCl,CN1C(=O)Cc2cnc(N3CCNCC3C(=O)c3ccccc3)nc21
C=CCBr.OCC1CCCCCCCCCCC1>CN(C)C=O.[H-].[Na+],CC=COCC1CCCCCCCCCCC1
CCOC(=O)C(C)(C)N1COC(C)=CC1=O.O=C1CCC(=O)N1I>CC(=O)O,CCOC(=O)C(C)(C)N1COC(C)=C(I)C1=O
CC1=C(C(N)=O)C(c2ccc(C#N)cc2)n2nnnc2N1c1cccc(C(F)(F)F)c1>C1CCOC1.CC[N+](CC)(CC)S(=O)(=O)NC(=O)OC.[OH-],CC1=C(C#N)C(c2ccc(C#N)cc2)n2nnnc2N1c1cccc(C(F)(F)F)c1
CCCCOC(=O)N(Cc1ccc(OC)cc1)S(=O)(=O)NCC(=O)OCC>CO.Cl,CCOC(=O)CNS(=O)(=O)NCc1ccc(OC)cc1
Cc1cc(C2(CN)CCN(C(=O)OC(C)(C)C)CC2)no1.Cc1ccnc(Nc2ncc(Sc3ccnc(C(=O)O)c3F)s2)c1>,Cc1ccnc(Nc2ncc(Sc3ccnc(C(=O)NCC4(c5cc(C)on5)CCN(C(=O)OC(C)(C)C)CC4)c3F)s2)c1
COc1ccc(CC(CCl)NC(C)=O)cc1.C[S-]>CN1CCCC1=O.[Na+],COc1ccc(CC(CSC)NC(C)=O)cc1
O=C(Cl)N1CCCCC1.O=C(c1c[nH]c2cc(Cl)ccc12)N1CCC2(CC1)OCc1ccccc12>,O=C(c1cn(C(=O)N2CCCCC2)c2cc(Cl)ccc12)N1CCC2(CC1)OCc1ccccc12
COC(=O)C1CCC(OCC2CC(F)(F)CN2C(=O)Cc2cc(Cl)c(NC(=O)c3cn(C)c4ccccc34)cc2F)CC1>C1CCOC1.[Na+].[OH-],Cn1cc(C(=O)Nc2cc(F)c(CC(=O)N3CC(F)(F)CC3COC3CCC(C(=O)O)CC3)cc2Cl)c2ccccc21
C=C(C(=O)O)C(O)c1ccccc1.CCOC(=O)CN>C(=NC1CCCCC1)=NC1CCCCC1.CCN(CC)CC.Cl.ClCCl,C=C(C(=O)NCC(=O)OCC)C(O)c1ccccc1
O=Cc1cccc2ccccc12.SCCS>,c1ccc2c(C3SCCS3)cccc2c1
CCOC(=O)Cc1ccc(CC)c(OC)c1>ClCCl,CCOC(=O)Cc1ccc(CC)c(O)c1
COc1ccc(Nc2c(C#N)cnc3c(OC)cc([N+](=O)[O-])cc23)cc1O>[Fe],COc1ccc(Nc2c(C#N)cnc3c(OC)cc(N)cc23)cc1O
COc1cc(CCNC(=O)C(=COC(F)F)c2ccc3c(c2)CCCC3)ccc1OCc1ccccc1>Br.CC(=O)O.O,COc1cc(CCNC(=O)C(=COC(F)F)c2ccc3c(c2)CCCC3)ccc1O
COC(=O)c1ccc(-c2cc(Cl)c(CN3CCC(N4CCCCC4)C3=O)c(Cl)c2)cc1>CCOC(C)=O.CO.Cl.[Na+].[OH-],O=C(O)c1ccc(-c2cc(Cl)c(CN3CCC(N4CCCCC4)C3=O)c(Cl)c2)cc1
CC(=O)OCCC(=O)c1ccc(F)cc1.SCCS>ClCCl,CC(=O)OCCC1(c2ccc(F)cc2)SCCS1
Cc1cc2cc(C=O)ncc2o1.O=P([O-])(O)O>C1CCOC1.CC(C)(C)O.CC=C(C)C.O.[K+].[Na+].[O-][Cl+][O-],Cc1cc2cc(C(=O)O)ncc2o1
CC(C)(CCOc1ccc(Cl)cc1Cl)C(=O)O.NC1C2CC3CC1CC(O)(C3)C2>CCN(C(C)C)C(C)C.CCN=C=NCCCN(C)C.CN(C)C=O.On1nnc2ccccc21,CC(C)(CCOc1ccc(Cl)cc1Cl)C(=O)NC1C2CC3CC1CC(O)(C3)C2
CCCCCCI.O=Cc1ccc(O)cc1>CC#N.O.O=C([O-])[O-].[K+].[K+],CCCCCCOc1ccc(C=O)cc1
Cc1ccc(S(=O)(=O)Cl)cc1.O=C(Nc1cnc2[nH]cc(Br)c2c1)OCc1ccccc1>C1CCOC1.[H-].[Na+],Cc1ccc(S(=O)(=O)n2cc(Br)c3cc(NC(=O)OCc4ccccc4)cnc32)cc1
BrCC1CCCC1.N#Cc1ccc(Cn2c(-c3ccc(Cl)cc3O)nc3cc(F)c(F)cc32)c(F)c1>,N#Cc1ccc(Cn2c(-c3ccc(Cl)cc3OCC3CCCC3)nc3cc(F)c(F)cc32)c(F)c1
CCOC(=O)CN(c1cccc2cc(C3=NCC(CN4CCOCC4)S3)[nH]c12)S(=O)(=O)c1cccs1>C1CCOC1.CO.Cl.O.[K+].[OH-],O=C(O)CN(c1cccc2cc(C3=NCC(CN4CCOCC4)S3)[nH]c12)S(=O)(=O)c1cccs1
Cc1cn(COCC[Si](C)(C)C)c2ncc(N)nc12.O=C=NC1CCCCC1>ClCCCl,Cc1cn(COCC[Si](C)(C)C)c2ncc(NC(=O)NC3CCCCC3)nc12
CCOC(=O)c1c(Nc2ccc(F)cc2N)sc2ccccc12.CN1CCNCC1>COc1ccccc1.[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],CN1CCN(C2=Nc3cc(F)ccc3Nc3sc4ccccc4c32)CC1
CCCn1c(=O)nc(SC)c2[nH]cnc21.ClCOCc1ccccc1>O.[H-].[Na+],CCCn1c(=O)nc(SC)c2c1ncn2COCc1ccccc1
CC(=O)OC(C)=O.COC(=O)Cc1ccc(C(F)(F)F)cc1[N+](=O)[O-]>Cc1ccccc1,COC(=O)Cc1ccc(C(F)(F)F)cc1NC(C)=O
COC(C)OC(C)OC(C)n1c(=O)sc2c3ccccc3ccc21.COc1ccc(P2(=S)SP(=S)(c3ccc(OC)cc3)S2)cc1>Cc1ccccc1,COC(C)OC(C)OC(C)n1c(=S)sc2c3ccccc3ccc21
CN(C)CC(=O)O.COc1cc(OCC2CCCN2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1>,COc1cc(OCC2CCCN2C(=O)CN(C)C)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1
CC(C)(C)OC(=O)c1ccc(NCc2cc(Br)ccc2OCc2ccccc2)cc1.COC(=O)c1ccc(CBr)cc1>CN(C)C=O.O.O=C([O-])[O-].[K+].[K+],COC(=O)c1ccc(CN(Cc2cc(Br)ccc2OCc2ccccc2)c2ccc(C(=O)OC(C)(C)C)cc2)cc1
CC(C)c1nn(Cc2ccc(Br)cc2)c(=O)c(C(=O)NCC(=O)O)c1O.COc1cc(B(O)O)ccn1>C1COCCO1.Cl.O.O=C([O-])[O-].[K+].[K+].c1ccc(P(c2ccccc2)(c2ccccc2)[Pd](P(c2ccccc2)(c2ccccc2)c2ccccc2)(P(c2ccccc2)(c2ccccc2)c2ccccc2)P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COc1cc(-c2ccc(Cn3nc(C(C)C)c(O)c(C(=O)NCC(=O)O)c3=O)cc2)ccn1
Cc1cccc(Br)[n+]1[O-].O=[N+]([O-])O>O.O=C([O-])O.O=S(=O)(O)O.[Na+],Cc1cc([N+](=O)[O-])cc(Br)[n+]1[O-]
CCC(O)(c1cn(Cc2ccc3c(-c4ccc(F)cc4)cc(C(C)=O)nc3c2)nn1)C(F)(F)F.C[Mg+]>C1CCOC1.[Br-],CCC(O)(c1cn(Cc2ccc3c(-c4ccc(F)cc4)cc(C(C)(C)O)nc3c2)nn1)C(F)(F)F
CC1(C)OB(c2cccc(NC(=O)C3CCCN3C(=O)OCc3ccccc3)c2)OC1(C)C.O=C(NC1CC1)c1csc(Br)n1>CN(C)C=O.CO.O=C([O-])O.[Na+],O=C(NC1CC1)c1csc(-c2cccc(NC(=O)C3CCCN3C(=O)OCc3ccccc3)c2)n1
CCN1CCNCC1.CCOC(=O)c1ccc(Cl)nc1>,CCOC(=O)c1ccc(N2CCN(CC)CC2)nc1
CC(C)NCc1csc2ccccc12.CCOC(=O)C[N+](=O)[O-]>Cc1ccccc1C,CCOC(=O)C(Cc1csc2ccccc12)[N+](=O)[O-]
CC(C)(C)[Si](C)(C)OCCN1C(=O)c2ccccc2Oc2ccccc21>C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.[F-],O=C1c2ccccc2Oc2ccccc2N1CCO
C=CCOCC1(c2cccc(C#N)c2)NC(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C1=O.O=C([O-])[O-]>CI.CN(C)C=O.[K+].[K+],C=CCOCC1(c2cccc(C#N)c2)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1C
CS(=O)(=O)c1ccc(-c2cnc(N)cn2)cc1.O=N[O-]>O=S(=O)(O)O.[Na+],CS(=O)(=O)c1ccc(-c2cnc(O)cn2)cc1
CNC.O=C(c1ccc(Cl)nc1)N1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1>CCOC(C)=O,CN(C)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CC2)cn1
CCc1ccncc1.Fc1ccccc1CCBr>,CC(CCc1ccccc1F)c1ccncc1
CC(C)(C)c1ccc(OC2CCCC2O)c(C(C)(C)C)c1.O=C([O-])CCl>CCCCCC.CS(C)=O.[H-].[Na+].[Na+],CC(C)(C)c1ccc(OC2CCCC2OCC(=O)O)c(C(C)(C)C)c1
Fc1ccc(Br)cn1.Fc1cccc(-c2cnoc2-c2n[nH]c3ncccc23)c1F>,Fc1cccc(-c2cnoc2-c2n[nH]c3ncc(Br)cc23)c1F
CCCCc1c[nH]c2ccccc2c1=O.N#Cc1ccc(Br)cc1.O=C([O-])[O-]>CC(C)=O.[K+].[K+],CCCCc1cn(Cc2ccc(C#N)cc2)c2ccccc2c1=O
CCOC(=O)CCCBr.CCOC(=O)Cc1ccc(N)cc1>CN(C)C=O.O.O=C([O-])[O-].[K+].[K+],CCOC(=O)CCCNc1ccc(CC(=O)OCC)cc1
Cc1cc(N=Nc2ccccc2C(=CC(=O)N(C(C)C)C(C)C)c2ccccc2)cc(C)c1O>CCO,CC(C)N(C(=O)C=C(c1ccccc1)c1ccccc1N)C(C)C
N#Cc1ccc2ncccc2c1>CO.N,NCc1ccc2ncccc2c1
Cc1c(C(=O)O)cc(S)c2cc(-c3ccc4c(c3)C(C)(C)CCC4(C)C)ccc12>CCO,Cc1c(C(=O)O)ccc2cc(-c3ccc4c(c3)C(C)(C)CCC4(C)C)ccc12
COC(=O)c1cscc1S(=O)(=O)Cl.N>ClC(Cl)Cl,COC(=O)c1cscc1S(N)(=O)=O
CC(CO)n1cc(Br)ccc1=O.OB(O)c1cccs1>C1COCCO1.CCOC(C)=O.O.O=C([O-])[O-].[Na+].[Na+],CC(CO)n1cc(-c2cccs2)ccc1=O
CCc1ccc([N+](=O)[O-])cn1>[Pd],CCc1ccc(N)cn1
CN1CCC(C(O)(c2ccc(F)cc2)c2cccnc2)CC1>Br.O,CN1CCC(=C(c2ccc(F)cc2)c2cccnc2)CC1
Cc1cc(C)c2c(c1)CC(C)C2=O>C1CCOC1.CO.Cl.[BH4-].[Na+],CC1=Cc2c(C)cc(C)cc2C1
CC(C)(C)OC(=O)Nc1ccc(C(F)(F)F)cc1N.COc1ccc(-c2cccc(C(=O)CC(=O)OC(C)(C)C)c2)cn1>,COc1ccc(-c2cccc(C(=O)CC(=O)Nc3cc(C(F)(F)F)ccc3NC(=O)OC(C)(C)C)c2)cn1
CCOC(=O)c1ccn(-c2ccc(OC(F)F)cc2)n1>C1CCOC1.CO.O,O=C(O)c1ccn(-c2ccc(OC(F)F)cc2)n1
CCCCN=C=O.COC(=O)c1ccc(SC)cc1S(N)(=O)=O>O=C(Cl)Cl,COC(=O)c1ccc(SC)cc1S(=O)(=O)N=C=O
CCOC(=O)CSc1cnc(NC(=O)N(CC2CCCC2)c2ccc(S(N)(=O)=O)cc2)s1>CCOC(=O)CSc1cnc(N)s1.CS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2nc(CC(=O)O)cs2)cc1.NS(=O)(=O)c1ccc(NCC2CCCC2)cc1,NS(=O)(=O)c1ccc(N(CC2CCCC2)C(=O)Nc2ncc(SCC(=O)O)s2)cc1
Cc1nnnn1-c1ccccc1NO.O=S(=O)(Cl)Cl>CC(=O)O.Cl.O.O=N[O-].O=S=O.[Cl-].[Na+],Cc1nnnn1-c1ccccc1S(=O)(=O)Cl
CCc1nc(Cl)ccc1N.CS(=O)(=O)Cl>ClCCl.c1ccncc1,CCc1nc(Cl)ccc1NS(C)(=O)=O
Cn1cc(C2CCC3(CC2)OCCO3)c2cc(C#N)ccc21>C1CCOC1.Cl.O=C([O-])O.[Na+],Cn1cc(C2CCC(=O)CC2)c2cc(C#N)ccc21
CC(C)C(=O)Nc1cccc(C2CCNCC2)c1.OC(CCCl)c1ccccc1>CN(C)C=O.O.O=C([O-])[O-].[I-].[K+].[K+].[Na+],CC(C)C(=O)Nc1cccc(C2CCN(CCC(O)c3ccccc3)CC2)c1
C=CCN(CC1CCCC1)C(C)CCCC(=O)c1ccc(-n2ccnc2)cc1>NN.OCCOCCO.[K+].[OH-],C=CCN(CC1CCCC1)C(C)CCCCc1ccc(-n2ccnc2)cc1
CC1(C)CCC(c2c(Br)cc(F)c(F)c2F)NC1=O>CCO,CC1(C)CCC(c2ccc(F)c(F)c2F)NC1=O
CC(=O)C1(Br)Cc2ccccc2C1C.CC1c2ccccc2CC1C(=O)CBr>Br.CC(=O)C1Cc2ccccc2C1C.ClCCl,CC1c2ccccc2CC1(Br)C(=O)CBr
CC(C)(O)C(N)c1ccc(F)cc1.Clc1nc(Cl)c2c(n1)CCS2>C1COCCO1.CCN(C(C)C)C(C)C,CC(C)(O)C(Nc1nc(Cl)nc2c1SCC2)c1ccc(F)cc1
CC(C)(C)c1ccc(OS(C)(=O)=O)c(C(C)(C)C)c1>CO.O.O=C[O-].[Li+],CC(C)(C)c1cccc(C(C)(C)C)c1
O=C(Cl)c1ccc([N+](=O)[O-])cc1.c1cc2n(c1)Cc1ccoc1NC2>CCN(CC)CC.CCOC(C)=O.ClCCl,O=C(c1ccc([N+](=O)[O-])cc1)N1Cc2cccn2Cc2ccoc21
Cn1ncc2c1Nc1ccccc1N(C(=O)c1ccc(CN)cc1F)C2.O=C(O)C1CCN(CC2CC2)CC1>CCN(C(C)C)C(C)C.CN(C)C(On1nnc2ccccc21)=[N+](C)C.CN(C)C=O.Cl.F[P-](F)(F)(F)(F)F,Cn1ncc2c1Nc1ccccc1N(C(=O)c1ccc(CNC(=O)C3CCN(CC4CC4)CC3)cc1F)C2
CCCC1(CC(=O)OCC)OCCc2c1[nH]c1c(C)c(C(=O)OCc3ccccc3)cc(Br)c21.CN1CCCC1=O>CCOC(C)=O.N#C[Cu].O,CCCC1(CC(=O)OCC)OCCc2c1[nH]c1c(C)c(C(=O)OCc3ccccc3)cc(C#N)c21
CCOC(=O)CCC1CCNCC1.N#Cc1ccc(F)c2ccccc12>CS(C)=O.O.O=C([O-])[O-].[K+].[K+],CCOC(=O)CCC1CCN(c2ccc(C#N)c3ccccc23)CC1
CC(C)(C)OC(=O)ONC(C#N)c1ccccc1.c1ncn(CC2CNCCN2)n1>CCN(CC)CC.Cl.Cl.ClCCl,CC(C)(C)OC(=O)N1CCNC(Cn2cncn2)C1
COc1ccc(C2(O)CCC(N3CC(NC(=O)OC(C)(C)C)C3)CC2)cn1>ClCCl.O=C(O)C(F)(F)F,COc1ccc(C2(O)CCC(N3CC(N)C3)CC2)cn1
CC(=O)C12CC3CC1CC(COCc1ccccc1)(C3)C2.CC(=O)O>BrBr.C1COCCO1.O.[Na+].[O-]Br.[OH-],O=C(O)C12CC3CC1CC(COCc1ccccc1)(C3)C2
COCOc1cnccc1CCCO>CCO.Cl,OCCCc1ccncc1O
COC(=O)c1sc(-c2ccccc2)cc1N.[Br-]>CO.C[N+](C)(C)c1ccccc1.C[N+](C)(C)c1ccccc1.C[N+](C)(C)c1ccccc1.ClCCl.O=C([O-])[O-].[Br-].[Br-].[Ca+2],COC(=O)c1sc(-c2ccccc2)c(Br)c1N
CN1C(=O)C2CCCC(C1=O)N2C(=O)OCc1ccccc1>CCOC(C)=O.[H][H],CN1C(=O)C2CCCC(N2)C1=O
O=C(Cn1cccc(OCc2ccccc2)c1=O)NOc1ccccc1>CCO.[Fe+3].[H][H],O=C(Cn1cccc(O)c1=O)NOc1ccccc1
CC(N)C(=O)N1CCCC1C(=O)OC(C)(C)C.CCOC(=O)C(=O)CCCC1(c2cccs2)OCCO1>CC(=O)O.CCO.[BH3-]C#N.[Na+],CCOC(=O)C(CCCC1(c2cccs2)OCCO1)NC(C)C(=O)N1CCCC1C(=O)OC(C)(C)C
COc1ccc(-c2nc(Sc3ncccn3)[nH]c2-c2ccc(OC)cc2)cc1.O=C(OO)c1cccc(Cl)c1>ClCCl,COc1ccc(-c2nc(S(=O)c3ncccn3)[nH]c2-c2ccc(OC)cc2)cc1
COP(=O)(CCc1c(-c2ccc(F)cc2)cc(-c2ccccc2)nc1C(C)C)CC(O)CC(=O)O>C1COCCO1.[Li+].[OH-],CC(C)c1nc(-c2ccccc2)cc(-c2ccc(F)cc2)c1CCP(=O)(O)CC(O)CC(=O)O
O=C(OCc1ccccc1)N1CC2CN(c3cccnc3)C2C1>CO,c1cncc(N2CC3CNCC32)c1
CCC(CC)n1nnc2c(Oc3c(C)cc(C)cc3C)nc(C)c(Br)c21.[Li]CCCC>C1CCOC1.CCCCCC.CI,CCC(CC)n1nnc2c(Oc3c(C)cc(C)cc3C)nc(C)c(C)c21
CCCc1c(O)cccc1OCCCCc1nnn[nH]1.O=S(=O)(Cl)Cl>C1CCOC1,CCCc1c(OCCCCc2nnn[nH]2)ccc(Cl)c1O
Oc1ccc2c(c1)C=CCO2>c1ccccc1,Oc1ccc2c(c1)CCCO2
Nc1ncnc2[nH]nc(I)c12.O=Cc1ccc(F)cc1>CN(C)C=O.[H-].[Na+],Nc1ncnc2c1c(I)nn2-c1ccc(C=O)cc1
COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OC1CCCC1.O=C(OC(=O)C(F)(F)F)C(F)(F)F>Cl.ClCCl.O=S([O-])([O-])=S.[Na+].[Na+],COc1ccc2c(Nc3c(Cl)cncc3Cl)c(O)c(=O)oc2c1OC1CCCC1
CC(Br)C(=O)c1ccc(C(F)(F)F)cn1.c1nc[nH]n1>CC#N.CCOC(C)=O.[Na],CC(C(=O)c1ccc(C(F)(F)F)cn1)n1cncn1
COC(=O)C1CC(NS(=O)(=O)c2ccc(Cl)cc2)CN1Cc1cccnc1>CC(C)C[Al+]CC(C)C.Cc1ccccc1.ClCCl.O=C([O-])C(O)C(O)C(=O)[O-].[H-].[K+].[Na+],O=CC1CC(NS(=O)(=O)c2ccc(Cl)cc2)CN1Cc1cccnc1
CN1CCC2(CC1)c1ccccc1Oc1ccccc12.O=C(Cl)Oc1ccccc1>ClCCl,O=C(Oc1ccccc1)N1CCC2(CC1)c1ccccc1Oc1ccccc12
C[SiH](C)OC(c1cccc(CO)c1)C(C)(C)C.O=C1NC(=O)c2ccccc21>C1CCOC1.CC(C)OC(=O)N=NC(=O)OC(C)C,C[SiH](C)OC(c1cccc(Cc2cccc3c2C(=O)NC3=O)c1)C(C)(C)C
COc1ccc(CNC(=O)c2cc([N+](=O)[O-])ccc2NC2CCC(O)CC2)cc1F>C1CCOC1.CCOC(=O)N=NC(=O)OCC.O=C(O)c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,COc1ccc(CNC(=O)c2cc([N+](=O)[O-])ccc2NC2CC=CCC2)cc1F
C=CC(=O)OC.Cc1cc2oc(=O)c(CC(=O)Nc3ccc(F)cc3C(F)(F)F)c(-c3ccccc3)c2cc1Br>CC(=O)[O-].CC(=O)[O-].CCN(CC)CC.CN(C)C=O.O.[Pd+2].c1ccc(P(c2ccccc2)c2ccccc2)cc1,COC(=O)C=Cc1cc2c(-c3ccccc3)c(CC(=O)Nc3ccc(F)cc3C(F)(F)F)c(=O)oc2cc1C
CI.COC(=O)C1CCC(C)(C)c2ccccc21>C1CCOC1.CO.O.[H-].[Na+],COC(=O)C1(C)CCC(C)(C)c2ccccc21
NC(=O)c1cc([N+](=O)[O-])ccc1-c1cc2ccccc2s1>C1CCOC1.O=[Pt]=O,NC(=O)c1cc(N)ccc1-c1cc2ccccc2s1
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1CCl.CCOC(=O)c1nc2ccc(-c3ccc(O)cc3)cc2cc1C>CN(C)C=O.O.O=C([O-])[O-].[Cs+].[Cs+],CCOC(=O)c1nc2ccc(-c3ccc(OCc4c(-c5c(Cl)cccc5Cl)noc4C(C)C)cc3)cc2cc1C
CC(C)(C)OC(=O)NC1CCC(c2cccc(F)c2F)CNC1=O.COc1ccc(P2(=S)SP(=S)(c3ccc(OC)cc3)S2)cc1>Cc1ccccc1,CC(C)(C)OC(=O)NC1CCC(c2cccc(F)c2F)CNC1=S
CCc1ncnc(O)c1F.Cl>CCN(CC)CC.ClCCl.O=P(Cl)(Cl)Cl,CCc1ncnc(Cl)c1F
CO.C[Si](C)(C)C=[N+]=[N-].O=C1OC(=O)c2c1cc1ccc3c(c1c2-c1ccc2c(c1)OCO2)OCO3>C1CCOC1,COC(=O)c1cc2ccc3c(c2c(-c2ccc4c(c2)OCO4)c1C(=O)OC)OCO3
CC(Oc1ccc(C(F)(F)F)cc1B(O)O)C(=O)O.O=C(O)COc1ccc(Cl)cc1-c1ccc(C(=O)N2CCCC2)c(F)c1>,CC(Oc1ccc(C(F)(F)F)cc1-c1ccc(C(=O)N2CCCC2)c(F)c1)C(=O)O
CC(C)(C)OC(=O)N1CCC(c2cc(O)n3nccc3n2)C1.O=P(Cl)(Cl)Cl>CN(C)c1ccccc1,CC(C)(C)OC(=O)N1CCC(c2cc(Cl)n3nccc3n2)C1
CNC(=O)CCN(CCOC)c1nc(Cl)ncc1Br>C1COCCO1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd],COCCN1CCC(=O)N(C)c2cnc(Cl)nc21
Cc1nc(Cl)c2nc(-c3ccccc3)cc-2[nH]1.NCCN1CCOCC1>O.O=C([O-])[O-].[K+].[K+],Cc1nc(NCCN2CCOCC2)c2nc(-c3ccccc3)cc-2[nH]1
CCOC(=O)C1=Cc2cc(-c3ccc(C)cc3)ccc2OC1C>C1CCOC1.CCO.[Na+].[OH-],Cc1ccc(-c2ccc3c(c2)C=C(C(=O)O)C(C)O3)cc1
CCn1c(-c2ccco2)n[nH]c1=S.Clc1cc(-c2nc(COn3nnc4ccccc43)no2)cs1>CCCCCCC.CCOC(C)=O.COc1cccc(-c2nc(CSc3nc4ccccc4[nH]3)no2)c1.O=C([O-])[O-].[Cs+].[Cs+],CCn1c(SCc2noc(-c3csc(Cl)c3)n2)nnc1-c1ccco1
CCCOc1cc(OC)c2c(c1)C(=O)c1cccc(OC(C)C)c1-2>ClB(Cl)Cl.ClCCl,CCCOc1cc(OC)c2c(c1)C(=O)c1cccc(O)c1-2
CCI.COc1ccc2c(c1)NC(=O)CCC2>CN(C)C=O.[H-].[Na+],CCN1C(=O)CCCc2ccc(OC)cc21
CN(C)C1CC(NC(=O)C(F)(F)F)(c2ccc(-c3nc4ccn5c(-c6ncccn6)nnc5c4cc3-c3ccccc3)cc2)C1>CCO.CCOC(C)=O.O=C([O-])O.[K+].[Na+].[OH-],CN(C)C1CC(N)(c2ccc(-c3nc4ccn5c(-c6ncccn6)nnc5c4cc3-c3ccccc3)cc2)C1
COc1ccc(C=C(C)[N+](=O)[O-])cc1OCc1ccccc1>C1CCOC1.CCO.CCOC(C)=O.Cl.[BH4-].[Na+],COc1ccc(CC(C)[N+](=O)[O-])cc1OCc1ccccc1
CC(C)CC(Oc1ccc(-c2ccc(C(C)(C)C)cc2)cc1)c1ccc(C(=O)O)cc1.COC(=O)C(O)CN>CCN(CC)CC.CCN=C=NCCCN(C)C.CN(C)c1ccncc1.ClCCl,COC(=O)C(O)CNC(=O)c1ccc(C(CC(C)C)Oc2ccc(-c3ccc(C(C)(C)C)cc3)cc2)cc1
CCn1c(C2CCCCC2)cc2cc([N+](=O)[O-])ccc21>CCO,CCn1c(C2CCCCC2)cc2cc(N)ccc21
CC(=O)Oc1ccc2c(c1)CCC2=O>CO.[BH4-].[Na+],CC(=O)Oc1ccc2c(c1)CCC2O
O=C(NCC(F)(F)F)C1(CCCBr)c2ccccc2Oc2ccccc21.O=c1c2cc(N3CCNCC3)ccc2cnn1Cc1ccccn1>,O=C(NCC(F)(F)F)C1(CCCN2CCN(c3ccc4cnn(Cc5ccccn5)c(=O)c4c3)CC2)c2ccccc2Oc2ccccc21
COC(=O)C(Cc1ccc(O)cc1)Nc1nc(-c2ccccc2)cs1.Cc1noc(C)c1CO>C1CCOC1.CCOC(=O)N=NC(=O)OCC.c1ccc(P(c2ccccc2)c2ccccc2)cc1,COC(=O)C(Cc1ccc(OCc2c(C)noc2C)cc1)Nc1nc(-c2ccccc2)cs1
CCC1CC(NC(C)=O)CC1c1nnc2cnc3c(ccn3S(=O)(=O)c3ccc(C)cc3)n12>C1COCCO1.Cl,CCC1CC(N)CC1c1nnc2cnc3c(ccn3S(=O)(=O)c3ccc(C)cc3)n12
Br.NC1CCc2c(ccc(O)c2O)C1=O>O.O=[Pt]=O.[H][H],NC1CCc2c(ccc(O)c2O)C1O
C=CCN1CCCNCC1.COc1cc(CCc2cc(NC(=O)c3cnc(Cl)cn3)[nH]n2)cc(OC)c1>CO.CS(C)=O,C=CCN1CCCN(c2cnc(C(=O)Nc3cc(CCc4cc(OC)cc(OC)c4)n[nH]3)cn2)CC1
CC(O)c1cn(CCN2CCCC2)c(C2CCN(C(=O)OC(C)(C)C)CC2)n1>CO.O=P(O)(O)O.[OH-].[OH-].[Pd+2],CCc1cn(CCN2CCCC2)c(C2CCN(C(=O)OC(C)(C)C)CC2)n1
CCOC(CN)(OCC)c1cc(C)nc(CC(C)C)c1.CCc1cc(C(=O)O)cc(C)c1OCc1ccccc1>CCN(C(C)C)C(C)C.CN(C)C=O.Cl.Cl.Cl.ClCCCl.On1nnc2ccccc21,CCOC(CNC(=O)c1cc(C)c(OCc2ccccc2)c(CC)c1)(OCC)c1cc(C)nc(CC(C)C)c1
O=C(O)CI.O=Cc1ccc(O)cc1>CCOC(C)=O.O.O=C([O-])[O-].O=P(O)(O)O.[K+].[K+],O=Cc1ccc(OCC(=O)O)cc1
